sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
90,-0.003961640334127878,-0.0006271735752670793,-0.0056277295134350425,-0.0009062311792149558,-0.0056277295134350425,-0.0009062311792149558,-0.0039929207,-0.0006339133,0.0,0.0,[],0.03687848,1.0957249,1.1588254,0.13442126,-10.924,-16.93
91,-0.004075758048493298,-0.0006455466112311114,-0.00570588571827102,-0.0009186517982016085,-0.00570588571827102,-0.0009186517982016085,-0.0039078104,-0.000621031,0.0,0.0,[],0.036874205,1.0957249,1.1588254,0.13442126,-10.924,-16.93
92,-0.004191412489344657,-0.0006641629084515443,-0.0057827220425679116,-0.0009308148610216449,-0.0057827220425679116,-0.0009308148610216449,-0.0038418162,-0.0006081532,0.0,0.0,[],0.03686967,1.0957249,1.1588254,0.13442126,-10.924,-16.93
93,-0.004308570830035024,-0.0006830175118739134,-0.005857917034518323,-0.0009427301711184555,-0.005857917034518323,-0.0009427301711184555,-0.0037597497,-0.00059576554,0.0,0.0,[],0.036864877,1.0957249,1.1588254,0.13442126,-10.924,-16.93
94,-0.004427200905738574,-0.0007021055616496596,-0.005931503785177483,-0.0009544024887873093,-0.005931503785177483,-0.0009544024887873093,-0.0036793374,-0.0005836159,0.0,0.0,[],0.036859814,1.0957249,1.1588254,0.13442126,-10.924,-16.93
95,-0.004547271202245611,-0.0007214222905531641,-0.0060035148253518855,-0.0009658364451752277,-0.0060035148253518855,-0.0009658364451752277,-0.003600552,-0.00057169783,0.0,0.0,[],0.036854476,1.0957249,1.1588254,0.13442126,-10.924,-16.93
96,-0.004668750838936831,-0.0007409630213442141,-0.006073981834560982,-0.0009770365395525005,-0.006073981834560982,-0.0009770365395525005,-0.0035233507,-0.00056000473,0.0,0.0,[],0.03684885,1.0957249,1.1588254,0.13442126,-10.924,-16.93
97,-0.004791609551175498,-0.0007607231668771418,-0.006142935611933353,-0.0009880072766463854,-0.006142935611933353,-0.0009880072766463854,-0.0034476889,-0.0005485369,0.0,0.0,[],0.03684294,1.0957249,1.1588254,0.13442126,-10.924,-16.93
98,-0.004915817686523952,-0.0007806982264446559,-0.006210406767422683,-0.0009987529783757054,-0.006210406767422683,-0.0009987529783757054,-0.0033735577,-0.0005372851,0.0,0.0,[],0.036836725,1.0957249,1.1588254,0.13442126,-10.924,-16.93
99,-0.005041346181897098,-0.0008008837847410176,-0.006276424768657307,-0.0010092779148180853,-0.006276424768657307,-0.0010092779148180853,-0.0033009,-0.00052624685,0.0,0.0,[],0.03683021,1.0957249,1.1588254,0.13442126,-10.924,-16.93
100,-0.005168166552939511,-0.0008212755097883926,-0.006341018552120659,-0.0010195862523687538,-0.006341018552120659,-0.0010195862523687538,-0.003229689,-0.0005154169,0.0,0.0,[],0.03682338,1.0957249,1.1588254,0.13442126,-10.924,-16.93
101,-0.005296250237006462,-0.0008418691610313542,-0.0064041842033475405,-0.001029682562148082,-0.0064041842033475405,-0.001029682562148082,-0.0031582827,-0.0005048155,0.0,0.0,[],0.036816232,1.0957249,1.1588254,0.13442126,-10.924,-16.93
102,-0.005425567040329043,-0.0008626606295547388,-0.006465840166129055,-0.0010395734261692269,-0.006465840166129055,-0.0010395734261692269,-0.0030827983,-0.00049454323,0.0,0.0,[],0.03680876,1.0957249,1.1588254,0.13442126,-10.924,-16.93
