sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
83,0.004029405971450615,0.00016076163747356985,0.0058364859578432515,0.00024055974404291192,0.0058364859578432515,0.00024055974404291192,0.0,0.0,[],0.1272523,31.16971,31.23961,0.0,0.0,0.0
84,0.004147959911279031,0.0001656576690015754,0.005927696991420817,0.00024480157640027755,0.005927696991420817,0.00024480157640027755,0.0,0.0,[],0.12724495,31.16971,31.23961,0.0,0.0,0.0
85,0.004268287717350177,0.0001706366633629841,0.006016390303557273,0.00024894971807043476,0.006016390303557273,0.00024894971807043476,0.0,0.0,[],0.12723699,31.16971,31.23961,0.0,0.0,0.0
86,0.004390340376776294,0.0001756967871801862,0.006102632971305866,0.00025300619086010556,0.006102632971305866,0.00025300619086010556,0.0,0.0,[],0.12722838,31.16971,31.23961,0.0,0.0,0.0
87,0.004514070199293201,0.00018083624639302794,0.00618649112584535,0.00025697296064208786,0.00618649112584535,0.00025697296064208786,0.0,0.0,[],0.1272191,31.16971,31.23961,0.0,0.0,0.0
88,0.0046394308158051,0.0001860532873138254,0.006268030825594906,0.0002608520460398722,0.006268030825594906,0.0002608520460398722,0.0,0.0,[],0.1272091,31.16971,31.23961,0.0,0.0,0.0
89,0.004766371378136683,0.0001913463452979158,0.0063470281165791675,0.0002646528992045205,0.0063470281165791675,0.0002646528992045205,0.0,0.0,[],0.12719838,31.16971,31.23961,0.0,0.0,0.0
90,0.004894845271555824,0.00019671365385192982,0.0064236946709570475,0.0002683654277007008,0.0064236946709570475,0.0002683654277007008,0.0,0.0,[],0.12718692,31.16971,31.23961,0.0,0.0,0.0
91,0.005024809976675897,0.00020215357054667035,0.006498235256003682,0.0002719958347370266,0.006498235256003682,0.0002719958347370266,0.0,0.0,[],0.12717469,31.16971,31.23961,0.0,0.0,0.0
92,0.0051562241110514155,0.0002076644874364319,0.006570706718775909,0.00027554584448807873,0.006570706718775909,0.00027554584448807873,0.0,0.0,[],0.12716165,31.16971,31.23961,0.0,0.0,0.0
93,0.00528904741491715,0.00021324483228227104,0.006641165193286724,0.0002790172422919568,0.006641165193286724,0.0002790172422919568,0.0,0.0,[],0.12714778,31.16971,31.23961,0.0,0.0,0.0
94,0.005423253739936627,0.00021889315364433053,0.006710316250973847,0.00028241606810297526,0.006710316250973847,0.00028241606810297526,0.0,0.0,[],0.12713307,31.16971,31.23961,0.0,0.0,0.0
95,0.005558809485301026,0.0002246083231852935,0.006777787268219981,0.00028575847704814805,0.006777787268219981,0.00028575847704814805,0.0,0.0,[],0.12711748,31.16971,31.23961,0.0,0.0,0.0
96,0.005695676692339476,0.0002303885471269495,0.006843360351922456,0.0002890111970828002,0.006843360351922456,0.0002890111970828002,0.0,0.0,[],0.127101,31.16971,31.23961,0.0,0.0,0.0
97,0.005833818755854737,0.00023623237787205646,0.006907103175763041,0.0002921915372553485,0.006907103175763041,0.0002921915372553485,0.0,0.0,[],0.12708358,31.16971,31.23961,0.0,0.0,0.0
98,0.005973200024673134,0.00024213839720459867,0.006969063440919854,0.00029530096662711003,0.006969063440919854,0.00029530096662711003,0.0,0.0,[],0.12706521,31.16971,31.23961,0.0,0.0,0.0
99,0.006113785764755449,0.0002481052188863941,0.0070292870041157585,0.00029834108408977045,0.0070292870041157585,0.00029834108408977045,0.0,0.0,[],0.12704587,31.16971,31.23961,0.0,0.0,0.0
100,0.006255542223298108,0.00025413148557845483,0.007087822927132947,0.0003013133346030372,0.007087822927132947,0.0003013133346030372,0.0,0.0,[],0.12702553,31.16971,31.23961,0.0,0.0,0.0
101,0.006398436494273483,0.0002602158695731304,0.007144713548768777,0.00030421919973377953,0.007144713548768777,0.00030421919973377953,0.0,0.0,[],0.12700416,31.16971,31.23961,0.0,0.0,0.0
102,0.006542436577874468,0.00026635707006562366,0.007200004180049291,0.0003070600246246613,0.007200004180049291,0.0003070600246246613,0.0,0.0,[],0.12698174,31.16971,31.23961,0.0,0.0,0.0
103,0.006687511331183486,0.00027255381647364626,0.007253737665450899,0.00030983732040112955,0.007253737665450899,0.00030983732040112955,0.0,0.0,[],0.12695824,31.16971,31.23961,0.0,0.0,0.0
104,0.006833629389075213,0.0002788047768513024,0.007305902894586325,0.0003125480188828078,0.007305902894586325,0.0003125480188828078,0.0,0.0,[],0.12693363,31.16971,31.23961,0.0,0.0,0.0
105,0.006980761273371172,0.00028510873199820707,0.007356594214797951,0.00031519775734523137,0.007356594214797951,0.00031519775734523137,0.0,0.0,[],0.12690791,31.16971,31.23961,0.0,0.0,0.0
106,0.007128878233561409,0.00029146448957135363,0.007405848009511828,0.0003177878786573274,0.007405848009511828,0.0003177878786573274,0.0,0.0,[],0.12688103,31.16971,31.23961,0.0,0.0,0.0
107,0.0072779529450781415,0.0002978707281749848,0.0074537355758366175,0.00032031193018156046,0.0074537355758366175,0.00032031193018156046,0.0,0.0,[],0.12685297,31.16971,31.23961,0.0,0.0,0.0
108,0.0074279601497255505,0.00030432645015707747,0.00750036023237044,0.00032278609910463274,0.00750036023237044,0.00032278609910463274,0.0,0.0,[],0.12682374,31.16971,31.23961,0.0,0.0,0.0
109,0.007578873238235247,0.00031083053686188573,0.007545654425484827,0.00032520433524041437,0.007545654425484827,0.00032520433524041437,0.0,0.0,[],0.12679327,31.16971,31.23961,0.0,0.0,0.0
